State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Tamil Nadu,ARIYALUR,2011,Whole Year ,Banana,144,6292
Tamil Nadu,ARIYALUR,2011,Whole Year ,Cashewnut,29930,6468
Tamil Nadu,ARIYALUR,2011,Whole Year ,Castor seed,38,8
Tamil Nadu,ARIYALUR,2011,Whole Year ,Coconut ,323,2600000
Tamil Nadu,ARIYALUR,2011,Whole Year ,Coriander,75,35
Tamil Nadu,ARIYALUR,2011,Whole Year ,Dry chillies,735,509
Tamil Nadu,ARIYALUR,2011,Whole Year ,Moong(Green Gram),6,4
Tamil Nadu,ARIYALUR,2011,Whole Year ,Onion,26,329
Tamil Nadu,ARIYALUR,2011,Whole Year ,Small millets,259,705
Tamil Nadu,ARIYALUR,2011,Whole Year ,Sugarcane,7967,880259
Tamil Nadu,ARIYALUR,2011,Whole Year ,Sunflower,228,418
Tamil Nadu,ARIYALUR,2011,Whole Year ,Tapioca,273,10282
Tamil Nadu,ARIYALUR,2011,Whole Year ,Turmeric,100,548
Tamil Nadu,ARIYALUR,2011,Whole Year ,Urad,1496,1163
Tamil Nadu,ARIYALUR,2012,Kharif     ,Arhar/Tur,99,78
Tamil Nadu,ARIYALUR,2012,Kharif     ,Castor seed,65,14
Tamil Nadu,ARIYALUR,2012,Kharif     ,Cotton(lint),8634,15664
Tamil Nadu,ARIYALUR,2012,Kharif     ,Groundnut,9108,23014
Tamil Nadu,ARIYALUR,2012,Kharif     ,Horse-gram,1,
Tamil Nadu,ARIYALUR,2012,Kharif     ,Maize,14743,35469
Tamil Nadu,ARIYALUR,2012,Kharif     ,Moong(Green Gram),2,1
Tamil Nadu,ARIYALUR,2012,Kharif     ,Ragi,8,15
Tamil Nadu,ARIYALUR,2012,Kharif     ,Rice,17523,36392
Tamil Nadu,ARIYALUR,2012,Kharif     ,Sunflower,754,922
Tamil Nadu,ARIYALUR,2012,Kharif     ,Urad,1703,924
Tamil Nadu,ARIYALUR,2012,Whole Year ,Sugarcane,7804,707584
Tamil Nadu,ARIYALUR,2013,Kharif     ,Bajra,777,2888
Tamil Nadu,ARIYALUR,2013,Kharif     ,Castor seed,31,10
Tamil Nadu,ARIYALUR,2013,Kharif     ,Cotton(lint),8815,29867
Tamil Nadu,ARIYALUR,2013,Kharif     ,Groundnut,6436,21168
Tamil Nadu,ARIYALUR,2013,Kharif     ,Horse-gram,1,
Tamil Nadu,ARIYALUR,2013,Kharif     ,Jowar,809,1004
Tamil Nadu,ARIYALUR,2013,Kharif     ,Maize,17153,91257
Tamil Nadu,ARIYALUR,2013,Kharif     ,Moong(Green Gram),23,13
Tamil Nadu,ARIYALUR,2013,Kharif     ,Onion,36,419
Tamil Nadu,ARIYALUR,2013,Kharif     ,Ragi,38,104
Tamil Nadu,ARIYALUR,2013,Kharif     ,Rice,24437,131658
Tamil Nadu,ARIYALUR,2013,Kharif     ,Sunflower,76,137
Tamil Nadu,ARIYALUR,2013,Kharif     ,Urad,1951,1639
Tamil Nadu,ARIYALUR,2013,Rabi       ,Bajra,95,190
Tamil Nadu,ARIYALUR,2013,Rabi       ,Cotton(lint),303,727
Tamil Nadu,ARIYALUR,2013,Rabi       ,Groundnut,3571,21760
Tamil Nadu,ARIYALUR,2013,Rabi       ,Horse-gram,1,1
Tamil Nadu,ARIYALUR,2013,Rabi       ,Jowar,63,136
Tamil Nadu,ARIYALUR,2013,Rabi       ,Maize,615,3076
Tamil Nadu,ARIYALUR,2013,Rabi       ,Onion,7,59
Tamil Nadu,ARIYALUR,2013,Rabi       ,Ragi,11,44
Tamil Nadu,ARIYALUR,2013,Rabi       ,Sunflower,1,1
Tamil Nadu,ARIYALUR,2013,Rabi       ,Urad,1485,1267
Tamil Nadu,ARIYALUR,2013,Whole Year ,Arhar/Tur,236,228
Tamil Nadu,ARIYALUR,2013,Whole Year ,Banana,131,5441
Tamil Nadu,ARIYALUR,2013,Whole Year ,Cashewnut,30152,6600
Tamil Nadu,ARIYALUR,2013,Whole Year ,Coconut ,331,1700000
Tamil Nadu,ARIYALUR,2013,Whole Year ,Coriander,14,5
Tamil Nadu,ARIYALUR,2013,Whole Year ,Dry chillies,212,58
Tamil Nadu,ARIYALUR,2013,Whole Year ,Small millets,187,491
Tamil Nadu,ARIYALUR,2013,Whole Year ,Sugarcane,9875,1112304
Tamil Nadu,ARIYALUR,2013,Whole Year ,Tapioca,189,5655
Tamil Nadu,ARIYALUR,2013,Whole Year ,Turmeric,61,224
Tamil Nadu,COIMBATORE,1997,Kharif     ,Banana,5619,183740
Tamil Nadu,COIMBATORE,1997,Kharif     ,Horse-gram,6849,3040
Tamil Nadu,COIMBATORE,1997,Kharif     ,Onion,2813,37188
Tamil Nadu,COIMBATORE,1997,Kharif     ,Sesamum,1598,580
Tamil Nadu,COIMBATORE,1997,Kharif     ,Small millets,63,50
Tamil Nadu,COIMBATORE,1997,Kharif     ,Tobacco,936,1620
Tamil Nadu,COIMBATORE,1997,Whole Year ,Arhar/Tur,1393,700
Tamil Nadu,COIMBATORE,1997,Whole Year ,Bajra,518,910
Tamil Nadu,COIMBATORE,1997,Whole Year ,Banana,7269,285930
Tamil Nadu,COIMBATORE,1997,Whole Year ,Black pepper,131,30
Tamil Nadu,COIMBATORE,1997,Whole Year ,Cardamom,834,70
Tamil Nadu,COIMBATORE,1997,Whole Year ,Cashewnut,63,40
Tamil Nadu,COIMBATORE,1997,Whole Year ,Castor seed,199,70
Tamil Nadu,COIMBATORE,1997,Whole Year ,Coriander,709,130
Tamil Nadu,COIMBATORE,1997,Whole Year ,Cotton(lint),16858,30610
Tamil Nadu,COIMBATORE,1997,Whole Year ,Dry chillies,2350,1430
Tamil Nadu,COIMBATORE,1997,Whole Year ,Gram,4481,3320
Tamil Nadu,COIMBATORE,1997,Whole Year ,Groundnut,33861,43150
Tamil Nadu,COIMBATORE,1997,Whole Year ,Jowar,89773,65140
Tamil Nadu,COIMBATORE,1997,Whole Year ,Maize,15763,17720
Tamil Nadu,COIMBATORE,1997,Whole Year ,Moong(Green Gram),4526,1480
Tamil Nadu,COIMBATORE,1997,Whole Year ,Onion,1680,20960
Tamil Nadu,COIMBATORE,1997,Whole Year ,Pulses total,34941,13110
Tamil Nadu,COIMBATORE,1997,Whole Year ,Ragi,401,800
Tamil Nadu,COIMBATORE,1997,Whole Year ,Rice,18703,57670
Tamil Nadu,COIMBATORE,1997,Whole Year ,Sugarcane,10756,12272000
Tamil Nadu,COIMBATORE,1997,Whole Year ,Sunflower,457,460
Tamil Nadu,COIMBATORE,1997,Whole Year ,Tapioca,1320,49510
Tamil Nadu,COIMBATORE,1997,Whole Year ,Tobacco,844,1250
Tamil Nadu,COIMBATORE,1997,Whole Year ,Total foodgrain,160230,155430
Tamil Nadu,COIMBATORE,1997,Whole Year ,Turmeric,2024,16960
Tamil Nadu,COIMBATORE,1997,Whole Year ,Urad,3085,1440
Tamil Nadu,COIMBATORE,1998,Kharif     ,Arhar/Tur,2312,1998
Tamil Nadu,COIMBATORE,1998,Kharif     ,Bajra,244,511
Tamil Nadu,COIMBATORE,1998,Kharif     ,Cotton(lint),15370,32294
Tamil Nadu,COIMBATORE,1998,Kharif     ,Groundnut,39937,69248
Tamil Nadu,COIMBATORE,1998,Kharif     ,Horse-gram,7231,3030
Tamil Nadu,COIMBATORE,1998,Kharif     ,Jowar,88370,64470
Tamil Nadu,COIMBATORE,1998,Kharif     ,Maize,18828,21163
Tamil Nadu,COIMBATORE,1998,Kharif     ,Moong(Green Gram),7116,3899
Tamil Nadu,COIMBATORE,1998,Kharif     ,Pulses total,43420,20310
Tamil Nadu,COIMBATORE,1998,Kharif     ,Ragi,510,1271
Tamil Nadu,COIMBATORE,1998,Kharif     ,Rice,15034,51575
Tamil Nadu,COIMBATORE,1998,Kharif     ,Sesamum,1106,423
Tamil Nadu,COIMBATORE,1998,Kharif     ,Small millets,4600,3400
Tamil Nadu,COIMBATORE,1998,Kharif     ,Sunflower,191,197
Tamil Nadu,COIMBATORE,1998,Kharif     ,Total foodgrain,167323,15962
Tamil Nadu,COIMBATORE,1998,Kharif     ,Urad,10191,4983
Tamil Nadu,COIMBATORE,1998,Rabi       ,Gram,4164,3981
Tamil Nadu,COIMBATORE,1998,Rabi       ,Wheat,20,1
Tamil Nadu,COIMBATORE,1998,Whole Year ,Banana,6189,243451
Tamil Nadu,COIMBATORE,1998,Whole Year ,Black pepper,130,26
Tamil Nadu,COIMBATORE,1998,Whole Year ,Cardamom,833,68
Tamil Nadu,COIMBATORE,1998,Whole Year ,Castor seed,174,60
Tamil Nadu,COIMBATORE,1998,Whole Year ,Coriander,822,150
Tamil Nadu,COIMBATORE,1998,Whole Year ,Dry chillies,1980,1202
Tamil Nadu,COIMBATORE,1998,Whole Year ,Onion,3093,38591
Tamil Nadu,COIMBATORE,1998,Whole Year ,Sannhamp,1,1
Tamil Nadu,COIMBATORE,1998,Whole Year ,Sugarcane,13193,1467460
Tamil Nadu,COIMBATORE,1998,Whole Year ,Tapioca,1526,56679
Tamil Nadu,COIMBATORE,1998,Whole Year ,Tobacco,461,687
Tamil Nadu,COIMBATORE,1998,Whole Year ,Turmeric,2652,22221
Tamil Nadu,COIMBATORE,1999,Kharif     ,Arhar/Tur,961,635
Tamil Nadu,COIMBATORE,1999,Kharif     ,Bajra,670,1376
Tamil Nadu,COIMBATORE,1999,Kharif     ,Castor seed,3771,1365
Tamil Nadu,COIMBATORE,1999,Kharif     ,Cotton(lint),7627,12264
Tamil Nadu,COIMBATORE,1999,Kharif     ,Groundnut,36123,55110
Tamil Nadu,COIMBATORE,1999,Kharif     ,Horse-gram,7884,2985
Tamil Nadu,COIMBATORE,1999,Kharif     ,Jowar,87539,43978
Tamil Nadu,COIMBATORE,1999,Kharif     ,Korra,2,1
Tamil Nadu,COIMBATORE,1999,Kharif     ,Maize,19841,22328
Tamil Nadu,COIMBATORE,1999,Kharif     ,Moong(Green Gram),6400,3104
Tamil Nadu,COIMBATORE,1999,Kharif     ,Ragi,419,449
Tamil Nadu,COIMBATORE,1999,Kharif     ,Rice,16875,60494
Tamil Nadu,COIMBATORE,1999,Kharif     ,Sesamum,1100,521
Tamil Nadu,COIMBATORE,1999,Kharif     ,Sunflower,978,984
Tamil Nadu,COIMBATORE,1999,Kharif     ,Urad,5178,2682
Tamil Nadu,COIMBATORE,1999,Rabi       ,Gram,5030,3723
Tamil Nadu,COIMBATORE,1999,Rabi       ,Samai,134,73
Tamil Nadu,COIMBATORE,1999,Rabi       ,Wheat,9,4
Tamil Nadu,COIMBATORE,1999,Whole Year ,Banana,5619,183740
Tamil Nadu,COIMBATORE,1999,Whole Year ,Cashewnut,36,11
Tamil Nadu,COIMBATORE,1999,Whole Year ,Coriander,324,59
Tamil Nadu,COIMBATORE,1999,Whole Year ,Dry chillies,1418,1235
Tamil Nadu,COIMBATORE,1999,Whole Year ,Guar seed,11939,118374
Tamil Nadu,COIMBATORE,1999,Whole Year ,Onion,2813,37188
Tamil Nadu,COIMBATORE,1999,Whole Year ,Sugarcane,11939,1195037
Tamil Nadu,COIMBATORE,1999,Whole Year ,Sweet potato,2,24
Tamil Nadu,COIMBATORE,1999,Whole Year ,Tapioca,834,29595
Tamil Nadu,COIMBATORE,1999,Whole Year ,Tobacco,936,1620
Tamil Nadu,COIMBATORE,1999,Whole Year ,Turmeric,3023,19346
Tamil Nadu,COIMBATORE,2000,Kharif     ,Arhar/Tur,632,418
Tamil Nadu,COIMBATORE,2000,Kharif     ,Bajra,307,479
Tamil Nadu,COIMBATORE,2000,Kharif     ,Castor seed,242,88
Tamil Nadu,COIMBATORE,2000,Kharif     ,Cotton(lint),6674,10987
Tamil Nadu,COIMBATORE,2000,Kharif     ,Groundnut,20169,27436
Tamil Nadu,COIMBATORE,2000,Kharif     ,Horse-gram,4859,1809
Tamil Nadu,COIMBATORE,2000,Kharif     ,Jowar,74450,35650
Tamil Nadu,COIMBATORE,2000,Kharif     ,Maize,18075,20341
Tamil Nadu,COIMBATORE,2000,Kharif     ,Moong(Green Gram),5292,2397
Tamil Nadu,COIMBATORE,2000,Kharif     ,Other Cereals & Millets,10,6
Tamil Nadu,COIMBATORE,2000,Kharif     ,Other Kharif pulses,12066,2582
Tamil Nadu,COIMBATORE,2000,Kharif     ,Ragi,295,305
Tamil Nadu,COIMBATORE,2000,Kharif     ,Rice,12170,47066
Tamil Nadu,COIMBATORE,2000,Kharif     ,Sesamum,800,382
Tamil Nadu,COIMBATORE,2000,Kharif     ,Sunflower,145,153
Tamil Nadu,COIMBATORE,2000,Kharif     ,Urad,3716,1925
Tamil Nadu,COIMBATORE,2000,Rabi       ,Gram,2297,1700
Tamil Nadu,COIMBATORE,2000,Rabi       ,Rapeseed &Mustard,6,1
Tamil Nadu,COIMBATORE,2000,Rabi       ,Wheat,8,4
Tamil Nadu,COIMBATORE,2000,Whole Year ,Banana,7050,230533
Tamil Nadu,COIMBATORE,2000,Whole Year ,Cardamom,6,
Tamil Nadu,COIMBATORE,2000,Whole Year ,Cashewnut,43,17
Tamil Nadu,COIMBATORE,2000,Whole Year ,Coriander,294,53
Tamil Nadu,COIMBATORE,2000,Whole Year ,Dry chillies,1716,1653
Tamil Nadu,COIMBATORE,2000,Whole Year ,Onion,4450,58829
Tamil Nadu,COIMBATORE,2000,Whole Year ,Sannhamp,5,4
Tamil Nadu,COIMBATORE,2000,Whole Year ,Sugarcane,11167,1117764
Tamil Nadu,COIMBATORE,2000,Whole Year ,Tapioca,1236,43860
Tamil Nadu,COIMBATORE,2000,Whole Year ,Tobacco,601,1040
Tamil Nadu,COIMBATORE,2000,Whole Year ,Turmeric,4178,26062
Tamil Nadu,COIMBATORE,2001,Kharif     ,Arhar/Tur,563,370
Tamil Nadu,COIMBATORE,2001,Kharif     ,Bajra,236,450
Tamil Nadu,COIMBATORE,2001,Kharif     ,Cotton(lint),10220,14650
Tamil Nadu,COIMBATORE,2001,Kharif     ,Groundnut,19152,29100
Tamil Nadu,COIMBATORE,2001,Kharif     ,Jowar,75752,29680
Tamil Nadu,COIMBATORE,2001,Kharif     ,Moong(Green Gram),4420,1260
Tamil Nadu,COIMBATORE,2001,Kharif     ,Ragi,233,420
Tamil Nadu,COIMBATORE,2001,Kharif     ,Rice,10548,37200
Tamil Nadu,COIMBATORE,2001,Kharif     ,Sesamum,914,460
Tamil Nadu,COIMBATORE,2001,Kharif     ,Sunflower,45,60
Tamil Nadu,COIMBATORE,2001,Kharif     ,Urad,1839,720
Tamil Nadu,COIMBATORE,2001,Whole Year ,Sugarcane,13438,1496800
Tamil Nadu,COIMBATORE,2002,Kharif     ,Arhar/Tur,468,255
Tamil Nadu,COIMBATORE,2002,Kharif     ,Bajra,624,684
Tamil Nadu,COIMBATORE,2002,Kharif     ,Castor seed,168,62
Tamil Nadu,COIMBATORE,2002,Kharif     ,Cotton(lint),5103,3024
Tamil Nadu,COIMBATORE,2002,Kharif     ,Groundnut,13131,12376
Tamil Nadu,COIMBATORE,2002,Kharif     ,Horse-gram,5794,1171
Tamil Nadu,COIMBATORE,2002,Kharif     ,Jowar,80595,23240
Tamil Nadu,COIMBATORE,2002,Kharif     ,Korra,1,1
Tamil Nadu,COIMBATORE,2002,Kharif     ,Maize,18242,20520
Tamil Nadu,COIMBATORE,2002,Kharif     ,Moong(Green Gram),4238,699
Tamil Nadu,COIMBATORE,2002,Kharif     ,Other Kharif pulses,12702,2721
Tamil Nadu,COIMBATORE,2002,Kharif     ,Ragi,198,264
Tamil Nadu,COIMBATORE,2002,Kharif     ,Rice,6577,22152
Tamil Nadu,COIMBATORE,2002,Kharif     ,Samai,24,17
Tamil Nadu,COIMBATORE,2002,Kharif     ,Sesamum,525,177
Tamil Nadu,COIMBATORE,2002,Kharif     ,Sunflower,10,12
Tamil Nadu,COIMBATORE,2002,Kharif     ,Urad,2083,831
Tamil Nadu,COIMBATORE,2002,Kharif     ,Varagu,1,1
Tamil Nadu,COIMBATORE,2002,Rabi       ,Gram,4113,3046
Tamil Nadu,COIMBATORE,2002,Rabi       ,Wheat,6,0
Tamil Nadu,COIMBATORE,2002,Whole Year ,Arecanut,1589,
Tamil Nadu,COIMBATORE,2002,Whole Year ,Ash Gourd,67,0
Tamil Nadu,COIMBATORE,2002,Whole Year ,Banana,6499,212533
Tamil Nadu,COIMBATORE,2002,Whole Year ,Beans & Mutter(Vegetable),2,0
Tamil Nadu,COIMBATORE,2002,Whole Year ,Beet Root,265,0
Tamil Nadu,COIMBATORE,2002,Whole Year ,Bhindi,392,5017
Tamil Nadu,COIMBATORE,2002,Whole Year ,Bitter Gourd,182,0
Tamil Nadu,COIMBATORE,2002,Whole Year ,Bottle Gourd,12,0
Tamil Nadu,COIMBATORE,2002,Whole Year ,Brinjal,621,6413
Tamil Nadu,COIMBATORE,2002,Whole Year ,Cashewnut,243,73
Tamil Nadu,COIMBATORE,2002,Whole Year ,Cauliflower,59,0
Tamil Nadu,COIMBATORE,2002,Whole Year ,Citrus Fruit,56,62
Tamil Nadu,COIMBATORE,2002,Whole Year ,Coconut ,99250,630000
Tamil Nadu,COIMBATORE,2002,Whole Year ,Coriander,680,323
Tamil Nadu,COIMBATORE,2002,Whole Year ,Cucumber,33,0
Tamil Nadu,COIMBATORE,2002,Whole Year ,Drum Stick,45,0
Tamil Nadu,COIMBATORE,2002,Whole Year ,Dry chillies,1265,654
Tamil Nadu,COIMBATORE,2002,Whole Year ,Garlic,2,11
Tamil Nadu,COIMBATORE,2002,Whole Year ,Grapes,368,6782
Tamil Nadu,COIMBATORE,2002,Whole Year ,Jack Fruit,13,147
Tamil Nadu,COIMBATORE,2002,Whole Year ,Lab-Lab,119,0
Tamil Nadu,COIMBATORE,2002,Whole Year ,Mango,3848,28864
Tamil Nadu,COIMBATORE,2002,Whole Year ,Onion,1970,26248
Tamil Nadu,COIMBATORE,2002,Whole Year ,Orange,18,28
Tamil Nadu,COIMBATORE,2002,Whole Year ,Other Citrus Fruit,162,0
Tamil Nadu,COIMBATORE,2002,Whole Year ,Other Fresh Fruits,325,0
Tamil Nadu,COIMBATORE,2002,Whole Year ,Other Vegetables,626,0
Tamil Nadu,COIMBATORE,2002,Whole Year ,Papaya,149,0
Tamil Nadu,COIMBATORE,2002,Whole Year ,Pome Fruit,172,900
Tamil Nadu,COIMBATORE,2002,Whole Year ,Pome Granet,51,0
Tamil Nadu,COIMBATORE,2002,Whole Year ,Redish,9,0
Tamil Nadu,COIMBATORE,2002,Whole Year ,Ribed Guard,78,0
Tamil Nadu,COIMBATORE,2002,Whole Year ,Snak Guard,85,0
Tamil Nadu,COIMBATORE,2002,Whole Year ,Sugarcane,9623,830060
Tamil Nadu,COIMBATORE,2002,Whole Year ,Tapioca,518,15576
Tamil Nadu,COIMBATORE,2002,Whole Year ,Tomato,4409,56986
Tamil Nadu,COIMBATORE,2002,Whole Year ,Turmeric,1453,7620
Tamil Nadu,COIMBATORE,2002,Whole Year ,Water Melon,32,0
Tamil Nadu,COIMBATORE,2002,Whole Year ,Yam,5,0
Tamil Nadu,COIMBATORE,2003,Kharif     ,Arhar/Tur,342,209
Tamil Nadu,COIMBATORE,2003,Kharif     ,Bajra,500,575
Tamil Nadu,COIMBATORE,2003,Kharif     ,Castor seed,205,76
Tamil Nadu,COIMBATORE,2003,Kharif     ,Cotton(lint),6881,8600
Tamil Nadu,COIMBATORE,2003,Kharif     ,Groundnut,16629,14937
Tamil Nadu,COIMBATORE,2003,Kharif     ,Horse-gram,5967,1710
Tamil Nadu,COIMBATORE,2003,Kharif     ,Jowar,94373,28512
Tamil Nadu,COIMBATORE,2003,Kharif     ,Korra,1,1
Tamil Nadu,COIMBATORE,2003,Kharif     ,Maize,21839,24570
Tamil Nadu,COIMBATORE,2003,Kharif     ,Moong(Green Gram),5730,1737
Tamil Nadu,COIMBATORE,2003,Kharif     ,Other Kharif pulses,15696,3363
Tamil Nadu,COIMBATORE,2003,Kharif     ,Ragi,174,240
Tamil Nadu,COIMBATORE,2003,Kharif     ,Rice,3654,10643
Tamil Nadu,COIMBATORE,2003,Kharif     ,Sesamum,874,279
Tamil Nadu,COIMBATORE,2003,Kharif     ,Small millets,19,12
Tamil Nadu,COIMBATORE,2003,Kharif     ,Sunflower,13,17
Tamil Nadu,COIMBATORE,2003,Kharif     ,Urad,1715,701
Tamil Nadu,COIMBATORE,2003,Rabi       ,Gram,4627,3427
Tamil Nadu,COIMBATORE,2003,Whole Year ,Arecanut,1577,
Tamil Nadu,COIMBATORE,2003,Whole Year ,Ash Gourd,167,0
Tamil Nadu,COIMBATORE,2003,Whole Year ,Banana,4983,145880
Tamil Nadu,COIMBATORE,2003,Whole Year ,Beans & Mutter(Vegetable),2,0
Tamil Nadu,COIMBATORE,2003,Whole Year ,Beet Root,290,0
Tamil Nadu,COIMBATORE,2003,Whole Year ,Bhindi,337,2885
Tamil Nadu,COIMBATORE,2003,Whole Year ,Bitter Gourd,233,0
Tamil Nadu,COIMBATORE,2003,Whole Year ,Black pepper,127,25
Tamil Nadu,COIMBATORE,2003,Whole Year ,Bottle Gourd,6,0
Tamil Nadu,COIMBATORE,2003,Whole Year ,Brinjal,553,6182
Tamil Nadu,COIMBATORE,2003,Whole Year ,Cabbage,5,318
Tamil Nadu,COIMBATORE,2003,Whole Year ,Cardamom,813,63
Tamil Nadu,COIMBATORE,2003,Whole Year ,Cashewnut,249,86
Tamil Nadu,COIMBATORE,2003,Whole Year ,Cauliflower,55,0
Tamil Nadu,COIMBATORE,2003,Whole Year ,Citrus Fruit,59,62
Tamil Nadu,COIMBATORE,2003,Whole Year ,Coconut ,99381,690200
Tamil Nadu,COIMBATORE,2003,Whole Year ,Coriander,1747,911
Tamil Nadu,COIMBATORE,2003,Whole Year ,Cucumber,47,0
Tamil Nadu,COIMBATORE,2003,Whole Year ,Drum Stick,60,0
Tamil Nadu,COIMBATORE,2003,Whole Year ,Dry chillies,1410,724
Tamil Nadu,COIMBATORE,2003,Whole Year ,Grapes,365,1638
Tamil Nadu,COIMBATORE,2003,Whole Year ,Jack Fruit,14,135
Tamil Nadu,COIMBATORE,2003,Whole Year ,Lab-Lab,244,0
Tamil Nadu,COIMBATORE,2003,Whole Year ,Mango,3793,10951
Tamil Nadu,COIMBATORE,2003,Whole Year ,Onion,1330,18824
Tamil Nadu,COIMBATORE,2003,Whole Year ,Orange,12,24
Tamil Nadu,COIMBATORE,2003,Whole Year ,Other Citrus Fruit,213,0
